Meteorological Data from PISCES 2 located at the Slave River at Fitzgerald at 15 minute intervals ,,,,,,,,,,,,,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/21/2012 09:00:00,0.801,97.5,1.2,0.2,15.41,59.51,743.1,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/21/2012 09:15:00,0.590,212.4,1.2,0.1,15.97,58.74,743.0,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/21/2012 09:30:00,1.461,56.1,2.0,0.7,16.98,48.51,743.0,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/21/2012 09:45:00,1.609,37.6,2.1,1.1,17.92,39.55,743.1,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/21/2012 10:00:00,1.037,57.2,1.5,0.6,18.67,38.05,743.0,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/21/2012 10:15:00,0.667,98.9,1.7,0.1,18.75,37.95,743.0,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/21/2012 10:30:00,0.694,70.0,1.4,0.1,19.20,34.41,743.0,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/21/2012 10:45:00,1.181,156.5,2.4,0.1,19.83,33.46,743.0,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/21/2012 11:00:00,0.799,254.4,2.2,0.1,20.36,31.37,742.9,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/21/2012 11:15:00,1.414,289.6,2.8,0.1,20.54,31.14,742.8,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/21/2012 11:30:00,1.351,208.3,3.4,0.1,21.14,28.94,742.8,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/21/2012 11:45:00,0.986,18.6,1.5,0.4,21.14,33.32,742.8,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/21/2012 12:00:00,0.706,16.6,1.5,0.1,20.49,34.98,742.8,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/21/2012 12:15:00,1.502,35.1,2.0,1.0,21.08,31.04,742.7,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/21/2012 12:30:00,1.742,62.0,2.5,1.1,21.63,27.57,742.7,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/21/2012 12:45:00,2.130,32.4,3.0,0.8,22.02,27.60,742.6,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/21/2012 13:00:00,1.239,80.3,2.2,0.3,21.84,29.44,742.6,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/21/2012 13:15:00,1.616,45.8,2.7,0.8,22.19,28.39,742.6,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/21/2012 13:30:00,1.098,95.7,2.9,0.1,22.41,28.13,742.5,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/21/2012 13:45:00,1.398,39.1,2.2,0.7,22.47,27.27,742.4,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/21/2012 14:00:00,1.858,144.6,2.8,0.6,22.91,25.74,742.4,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/21/2012 14:15:00,2.070,61.6,3.2,0.5,23.27,25.15,742.3,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/21/2012 14:30:00,1.014,28.6,2.5,0.2,23.29,25.96,742.2,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/21/2012 14:45:00,0.864,355.0,2.6,0.0,22.90,27.31,742.1,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/21/2012 15:00:00,2.004,22.5,3.5,1.2,23.37,25.96,742.1,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/21/2012 15:15:00,1.317,45.6,2.0,0.8,23.48,24.46,741.9,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/21/2012 15:30:00,1.656,36.9,2.3,0.3,23.83,23.57,741.8,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/21/2012 15:45:00,1.554,59.1,2.3,0.5,23.93,24.21,741.8,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/21/2012 16:00:00,2.614,66.4,4.0,1.8,24.25,23.98,741.7,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/21/2012 16:15:00,1.628,68.4,3.2,0.6,24.56,22.79,741.6,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/21/2012 16:30:00,1.720,96.3,3.1,0.6,24.31,23.69,741.4,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/21/2012 16:45:00,1.850,110.4,2.9,0.8,24.28,25.12,741.3,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/21/2012 17:00:00,2.042,77.0,3.1,1.1,24.59,23.11,741.2,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/21/2012 17:15:00,0.892,17.8,1.8,0.2,24.27,26.48,741.2,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/21/2012 17:30:00,0.911,1.6,1.5,0.3,24.29,24.25,741.1,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/21/2012 17:45:00,0.473,22.4,1.2,0.1,24.24,26.22,741.0,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/21/2012 18:00:00,1.357,68.9,1.9,0.6,25.16,21.48,740.9,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/21/2012 18:15:00,1.431,47.0,2.0,0.3,24.79,24.26,740.9,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/21/2012 18:30:00,0.624,10.0,1.0,0.2,23.40,28.97,740.8,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/21/2012 18:45:00,1.097,320.7,1.8,0.4,23.28,31.72,740.7,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/21/2012 19:00:00,1.064,324.4,1.6,0.3,23.46,29.47,740.6,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/21/2012 19:15:00,1.194,294.2,1.7,0.7,22.87,33.81,740.6,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/21/2012 19:30:00,0.969,232.0,1.4,0.4,21.48,38.39,740.6,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/21/2012 19:45:00,0.352,209.6,0.8,0.0,20.88,40.71,740.6,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/21/2012 20:00:00,0.139,19.9,0.4,0.0,20.84,49.60,740.6,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/21/2012 20:15:00,0.514,194.4,0.8,0.0,20.01,49.88,740.5,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/21/2012 20:30:00,1.013,142.0,1.3,0.7,20.04,45.10,740.5,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/21/2012 20:45:00,0.604,156.6,0.9,0.2,19.74,54.05,740.4,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/21/2012 21:00:00,0.267,224.2,0.6,0.1,18.96,54.47,740.3,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/21/2012 21:15:00,0.334,137.3,0.7,0.1,18.03,62.45,740.3,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/21/2012 21:30:00,0.460,110.7,0.9,0.0,17.23,69.97,740.2,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/21/2012 21:45:00,0.329,143.9,0.7,0.1,16.69,75.20,740.2,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/21/2012 22:00:00,1.141,11.1,3.1,0.1,16.51,70.68,740.2,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/21/2012 22:15:00,2.301,10.1,3.3,1.1,20.22,41.63,740.3,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/21/2012 22:30:00,1.653,359.8,2.2,1.0,19.99,45.09,740.3,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/21/2012 22:45:00,1.356,317.6,2.6,0.5,19.38,50.00,740.5,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/21/2012 23:00:00,1.370,325.3,1.9,0.7,17.95,58.87,740.6,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/21/2012 23:15:00,0.741,2.0,1.0,0.5,17.25,65.08,740.6,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/21/2012 23:30:00,1.212,124.4,1.8,0.4,16.32,65.85,740.7,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/21/2012 23:45:00,0.981,262.9,1.5,0.4,15.78,70.85,740.8,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/22/2012 00:00:00,1.042,305.3,2.2,0.3,15.44,73.63,740.8,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/22/2012 00:15:00,1.669,319.7,2.7,0.7,15.44,72.29,740.8,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/22/2012 00:30:00,1.526,320.2,2.6,0.9,16.14,67.26,740.9,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/22/2012 00:45:00,1.478,3.0,2.1,1.1,16.76,62.44,740.9,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/22/2012 01:00:00,1.050,353.0,1.5,0.7,16.19,69.28,740.9,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/22/2012 01:15:00,1.483,309.9,2.2,0.8,15.82,70.76,741.0,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/22/2012 01:30:00,1.592,310.3,2.4,1.0,15.63,70.25,741.0,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/22/2012 01:45:00,1.432,300.9,2.2,0.7,15.54,69.50,741.0,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/22/2012 02:00:00,1.288,277.8,1.9,0.8,15.42,69.13,741.0,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/22/2012 02:15:00,0.609,186.9,1.3,0.1,14.58,74.75,741.0,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/22/2012 02:30:00,0.888,327.4,1.7,0.3,14.23,78.50,741.0,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/22/2012 02:45:00,1.526,310.8,2.3,0.9,14.45,73.50,741.1,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/22/2012 03:00:00,1.823,309.7,2.4,1.3,15.05,71.72,741.2,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/22/2012 03:15:00,1.603,301.9,2.1,1.1,14.71,76.07,741.2,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/22/2012 03:30:00,1.960,343.6,2.6,1.5,14.95,70.19,741.2,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/22/2012 03:45:00,2.037,353.8,2.6,1.6,14.93,69.29,741.3,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/22/2012 04:00:00,1.807,341.4,2.4,1.4,14.70,70.77,741.4,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/22/2012 04:15:00,2.026,341.7,2.6,1.5,14.72,70.72,741.5,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/22/2012 04:30:00,2.027,324.9,3.5,1.3,14.69,71.98,741.5,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/22/2012 04:45:00,1.771,321.9,2.6,1.1,14.52,74.60,741.5,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/22/2012 05:00:00,1.504,340.0,2.0,1.0,14.58,73.44,741.5,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/22/2012 05:15:00,1.769,346.0,2.3,1.3,14.84,70.06,741.5,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/22/2012 05:30:00,1.840,331.7,2.6,1.0,14.94,69.89,741.6,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/22/2012 05:45:00,1.790,323.6,2.6,1.1,14.85,71.70,741.6,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/22/2012 06:00:00,2.283,325.1,3.1,1.5,14.86,71.58,741.7,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/22/2012 06:15:00,2.523,333.0,3.7,1.6,14.72,71.11,741.8,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/22/2012 06:30:00,1.964,340.9,2.8,1.3,14.66,71.06,741.8,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/22/2012 06:45:00,1.819,334.6,2.8,1.2,14.70,71.15,741.9,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/22/2012 07:00:00,1.969,333.8,2.8,1.2,15.23,68.96,741.9,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/22/2012 07:15:00,1.944,320.8,2.7,1.1,15.29,69.94,742.0,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/22/2012 07:30:00,1.470,310.7,2.3,0.7,15.20,70.57,742.0,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/22/2012 07:45:00,1.958,292.4,2.7,1.3,15.34,68.72,742.0,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/22/2012 08:00:00,1.641,296.4,2.2,1.0,15.87,65.67,742.0,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/22/2012 08:15:00,1.740,295.6,2.5,1.2,16.24,64.26,742.1,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/22/2012 08:30:00,1.787,292.2,2.3,1.1,16.57,62.45,742.1,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/22/2012 08:45:00,1.612,295.7,2.5,1.0,16.83,63.10,742.2,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/22/2012 09:00:00,1.241,310.8,1.8,0.9,17.09,65.19,742.1,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/22/2012 09:15:00,1.267,309.7,1.7,1.0,17.30,64.68,742.1,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/22/2012 09:30:00,1.528,315.8,2.2,1.0,17.80,60.94,742.1,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/22/2012 09:45:00,1.804,317.9,3.0,1.0,18.32,55.25,742.1,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/22/2012 10:00:00,2.449,308.7,4.1,1.2,18.51,52.57,742.1,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/22/2012 10:15:00,2.817,302.3,4.3,1.8,18.94,47.97,742.1,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/22/2012 10:30:00,3.179,299.0,4.7,1.7,19.29,44.81,742.1,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/22/2012 10:45:00,2.451,306.8,4.4,0.9,19.56,44.91,742.0,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/22/2012 11:00:00,2.546,327.8,4.8,0.8,19.61,45.68,741.9,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/22/2012 11:15:00,2.154,319.4,3.5,0.8,19.81,45.63,741.9,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/22/2012 11:30:00,4.064,308.7,6.9,2.2,19.91,43.32,741.8,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/22/2012 11:45:00,4.950,300.5,8.5,2.3,20.36,41.70,741.8,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/22/2012 12:00:00,4.638,316.7,6.3,2.7,19.96,44.94,741.8,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/22/2012 12:15:00,4.454,307.8,7.7,2.5,19.76,44.96,741.8,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,06/22/2012 12:30:00,4.879,301.4,7.8,3.2,20.38,41.63,741.8,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,07/28/2012 05:00:00,2.301,347.9,3.2,1.5,12.40,82.50,741.4,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,07/28/2012 05:15:00,2.598,338.4,3.4,1.6,12.41,83.60,741.4,0,0,,,,,,,,,,,
Slave River at Fitzgerald - Long Term Monitoring Station (1960-1967: 1989-onwards); equivalent to M11A for Oil Sands,59.86917,-111.58583,07/28/2012 05:30:00,2.041,358.4,2.8,1.2,12.33,84.10,741.4,0,0,,,,,,,,,,,
