2018PN330048,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2018-07-25 13:40,WATER,DISCRETE SAMPLE,4.1,,,,0.001,,14.191,,0.904,,0.052,,,,,,,,0.014,,13.4,,0.791,,0.02,,0.112,,,,0.792,,0.0648,,0.0129,,24,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018PN330051,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2018-08-22 11:30,WATER,DISCRETE SAMPLE,4.2,,,,0.001,,11.478,,0.359,,0.026,,,,,,,,0.011,,11,,0.478,L,0.01,,0.042,,,,0.317,,0.0376,,0.0121,,8,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018PN330074,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2018-09-19 11:45,WATER,DISCRETE SAMPLE,4.5,,,,0,,9.51,,0.355,,0.052,,,,,,,,0.009,,8.42,,1.09,L,0.01,,0.104,,,,0.251,,0.0592,,0.0068,,29,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018PN330087,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2018-10-17 14:05,WATER,DISCRETE SAMPLE,4.4,,,,0,,10.329,,0.378,,0.026,,,,,,,,0.009,,9.76,,0.569,L,0.01,,0.097,,,,0.281,,0.0331,,0.0076,,6,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018PN330093,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2019-01-21 13:20,WATER,TRIPLICATE SAMPLE,1.63,,,,0,,9.082,,0.546,,0.017,,,,,,,,0.059,,8.8,,0.282,,0.204,,0.026,,,,0.52,,0.0347,,0.0175,,4,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018PN330094,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2019-01-21 13:25,WATER,TRIPLICATE SAMPLE,1.63,,,,PM,,9.203,,0.519,,0.02,,,,,,,,0.059,,8.86,,0.343,,0.2,,0.032,,,,0.487,,0.0335,,0.0131,,4,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018PN330095,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2019-01-21 13:30,WATER,TRIPLICATE SAMPLE,1.63,,,,PM,,9.28,,0.528,,0.022,,,,,,,,0.059,,8.95,,0.33,,0.2,,0.03,,,,0.498,,0.0347,,0.0132,,5,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018PN330106,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2019-02-18 11:00,WATER,DISCRETE SAMPLE,2.39,,,,0,,8.313,,0.522,,0.021,,,,,,,,0.045,,8.13,,0.183,,0.254,,0.02,,,,0.502,,0.0372,,0.016,,3,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018PN330125,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2019-03-19 12:10,WATER,DISCRETE SAMPLE,2.66,,,,0,,7.029,,0.489,,0.025,,,,,,,,0.026,,6.73,,0.299,,0.224,,0.015,,,,0.474,,0.0364,,0.0117,,8,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN330006,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2019-05-29 15:00,WATER,DISCRETE SAMPLE,3.2,,,,0,,12,,0.48,,0.073,,,,,,,,0.008,,10.4,,1.6,L,0.01,,0.177,,,,0.303,,0.0816,,0.0083,,28,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN330019,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2019-06-24 14:30,WATER,TRIPLICATE SAMPLE,4,,,,0,,7.345,,0.34,,0.041,,,,,,,,0.005,,6.38,,0.965,L,0.01,,0.124,,,,0.216,,0.0499,,0.0093,,21,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN330020,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2019-06-24 14:35,WATER,TRIPLICATE SAMPLE,4,,,,PM,,7.353,,0.341,,0.041,,,,,,,,0.006,,6.45,,0.903,L,0.01,,0.122,,,,0.219,,0.0503,,0.009,,21,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN330021,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2019-06-24 14:40,WATER,TRIPLICATE SAMPLE,4,,,,PM,,7.38,,0.333,,0.041,,,,,,,,0.005,,6.47,,0.91,L,0.01,,0.105,,,,0.228,,0.0497,,0.0092,,19,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN330046,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2019-07-23 15:40,WATER,DISCRETE SAMPLE,4.4,,,,0.001,,13.89,,0.534,,0.035,,,,,,,,0.016,,13.3,,0.59,L,0.01,,0.1,,,,0.434,,0.0504,,0.0152,,6,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN330070,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2019-08-21 14:15,WATER,DISCRETE SAMPLE,3.8,,,,0.001,,14.362,,0.462,,0.056,,,,,,,,0.01,,13.7,,0.662,L,0.01,,0.081,,,,0.381,,0.0729,,0.0173,,10,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN330083,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2019-09-17 14:55,WATER,DISCRETE SAMPLE,4.4,,,,0,,12.327,,0.444,,0.046,,,,,,,,0.009,,11.4,,0.927,L,0.01,,0.11,,,,0.334,,0.061,,0.0146,,22,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN330103,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2019-10-09 12:25,WATER,DISCRETE SAMPLE,3.8,,,,0,,23.02,,1.584,,0.472,,,,,,,,0.026,,9.02,,14,L,0.01,,1.28,,,,0.304,,0.485,,0.0135,,446,,495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN330108,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2020-01-20 12:50,WATER,DISCRETE SAMPLE,4.25,,,,0.001,,8.995,,0.54,,0.014,,,,,,,,0.066,,8.83,,0.165,,0.186,,0.026,,,,0.514,,0.0319,,0.0177,L,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021PN330018,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2021-08-02 11:30,WATER,DISCRETE SAMPLE,5.3,,,,0.002,,7.182,,0.438,,0.009,,,,,,,,0.026,,6.59,,0.592,L,0.01,,0.102,,,,0.336,,0.039,,0.0299,,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021PN330032,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2021-08-29 12:45,WATER,DISCRETE SAMPLE,5.4,,,,0,,7.292,,0.388,,0.019,,,,,,,,0.007,,6.67,,0.622,L,0.01,,0.073,,,,0.315,,0.0445,,0.0259,,6,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021PN330040,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2021-09-24 15:55,WATER,DISCRETE SAMPLE,5,,,,0,,11.26,,0.746,,0.123,,,,,,,,0.011,,7.65,,3.61,L,0.01,,0.503,,,,0.243,,0.152,,0.029,,70,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021PN330053,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2021-10-23 14:38,WATER,DISCRETE SAMPLE,4.6,,,,0,,15.26,,0.95,,0.209,,,,,,,,0.012,,10.1,,5.16,,0.016,,0.625,,,,0.325,,0.225,,0.0164,,118,,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021PN330057,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2022-02-22 11:38,WATER,DISCRETE SAMPLE,2.02,,,,0,,6.265,,0.528,,0.014,,,,,,,,0.039,,6.01,,0.255,,0.254,,0.026,,,,0.502,,0.0346,,0.0202,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021PN330065,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2022-03-18 12:15,WATER,DISCRETE SAMPLE,3.5,,,,0,,6.4,,0.489,,0.005,,,,,,,,0.031,,6.18,,0.22,,0.258,L,0.01,,,,0.484,,0.0351,,0.0302,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022PN330004,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2022-05-24 13:40,WATER,DISCRETE SAMPLE,5.7,,,,0,,14.69,,0.683,,0.034,,,,,,,,0.01,,13.1,,1.59,,0.006,,0.187,,,,0.496,,0.105,,0.0713,,47,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022PN330022,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2022-06-25 14:10,WATER,DISCRETE SAMPLE,5.2,,,,0,,9.545,,0.46,,0.047,,,,,,,,0.006,,8.6,,0.945,,0.004,,0.159,,,,0.301,,0.067,,0.0201,,16,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022PN330032,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2022-07-19 12:00,WATER,DISCRETE SAMPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022PN330045,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2022-10-13 12:30,WATER,DISCRETE SAMPLE,4.3,,,,0,,11.15,,1.259,,0.155,,,,,,,,0.014,,6.45,,4.7,,0.005,,0.842,,,,0.417,,0.214,,0.0591,,147,,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022PN330050,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2023-02-09 12:25,WATER,DISCRETE SAMPLE,2.58,,,,0.001,,7.113,,0.612,,0.005,,,,,,,,0.056,,6.66,,0.453,,0.255,,0.016,,,,0.596,,0.0469,,0.0422,,14,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022PN330055,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2023-03-08 12:10,WATER,DISCRETE SAMPLE,3,,,,0,,6.861,,0.575,,0.011,,,,,,,,0.037,,6.63,,0.231,,0.3,,0.026,,,,0.549,,0.0319,,0.0208,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023PN330011,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2023-06-29 13:10,WATER,DISCRETE SAMPLE,4.1,,,,0.002,,18.79,,0.913,,0.138,,,,,,,,0.026,,16.5,,2.29,,0.008,,0.245,,,,0.668,,0.157,,0.019,,74,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023PN330017,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2023-10-07 13:00,WATER,DISCRETE SAMPLE,3.9,,,,0.001,,13.2,,0.994,,0.19,,,,,,,,0.035,,8.67,,4.53,,0.004,,0.69,,,,0.304,,0.204,,0.0138,,133,,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023PN330022,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2023-10-18 12:50,WATER,DISCRETE SAMPLE,3.8,,,,0,,8.31,,0.468,,0.065,,,,,,,,0.007,,6.8,,1.51,,0.004,,0.222,,,,0.246,,0.0774,,0.0128,,38,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023PN330031,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2024-02-20 11:35,WATER,DISCRETE SAMPLE,1.34,,,,0.001,,9.976,,0.51,,0.035,,,,,,,,0.047,,9.5,,0.476,,0.204,,0.053,,,,0.457,,0.0455,,0.0102,,16,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023PN330036,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2024-03-20 11:45,WATER,DISCRETE SAMPLE,2.3,,,,0,,7.639,,0.432,L,0.004,,,,,,,,0.035,,7.06,,0.579,,0.092,,0.093,,,,0.339,,0.036,,0.0333,,15,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024PN330016,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2024-06-28 11:50,WATER,DISCRETE SAMPLE,4.2,,,,0,,17.44,,0.573,,0.081,,,,,,,,0.012,,15.9,,1.54,,0.005,,0.157,,,,0.416,,0.0941,,0.0131,,67,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024PN330032,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2024-09-19 11:30,WATER,DISCRETE SAMPLE,3.9,,,,0.001,,7.758,,0.398,,0.046,,,,,,,,0.024,,6.78,,0.978,,0.004,,0.152,,,,0.246,,0.0521,,0.0058,,29,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024PN330036,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2024-10-16 12:05,WATER,DISCRETE SAMPLE,4,,,,0,,6.51,,0.562,,0.054,,,,,,,,0.018,,4.93,,1.58,,0.009,,0.363,,,,0.199,,0.0551,L,0.002,,47,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
