2024PN280010,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2024-07-04 10:50,WATER,VERTICAL INTEGRATED,4.6,,,,,,6.05,,0.233,,
2024PN280011,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2024-07-29 11:00,WATER,VERTICAL INTEGRATED,3.6,,,,,,6.51,,0.147,,
2024PN280013,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2024-08-16 10:40,WATER,VERTICAL INTEGRATED,3.4,,,,,,3.05,,0.098,,
2024PN280015,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2024-09-12 11:00,WATER,VERTICAL INTEGRATED,2.9,,,,,,1.96,,0.061,,
2024PN280017,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2024-10-10 10:55,WATER,VERTICAL INTEGRATED,2.9,,,,,,2.32,,0.047,,
2024PN280019,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2025-01-15 11:45,WATER,VERTICAL INTEGRATED,2.6,,,,,,0.52,,0.03,,
2024PN280021,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2025-02-13 11:50,WATER,VERTICAL INTEGRATED,2.5,,,,,,0.64,,0.029,,
2024PN280023,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2025-03-10 11:00,WATER,VERTICAL INTEGRATED,2.7,,,,,,0.85,,0.044,,
2025PN280001,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2025-05-19 11:15,WATER,VERTICAL INTEGRATED,3.5,,,,,,4.55,,0.082,,
2025PN280003,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2025-06-16 10:35,WATER,VERTICAL INTEGRATED,4,,,,,,4.69,,0.154,,
2025PN280005,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2025-07-13 10:35,WATER,VERTICAL INTEGRATED,3.7,,,,,,3.47,,0.087,,
2025PN280007,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2025-08-11 11:55,WATER,VERTICAL INTEGRATED,2.8,,,,,,2.87,,0.069,,
2025PN280009,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2025-09-09 11:50,WATER,VERTICAL INTEGRATED,2.3,,,,,,1.54,,0.068,,
2025PN280011,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2025-10-16 11:25,WATER,VERTICAL INTEGRATED,1.6,,,,,,1.51,,0.031,,
2025PN280013,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2026-02-04 11:55,WATER,VERTICAL INTEGRATED,2.2,,,,,,0.88,,0.028,,
2025PN280015,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2026-03-10 11:05,WATER,VERTICAL INTEGRATED,1.9,,,,,,,,,,
2012PN330002,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2012-05-29 14:05,WATER,DISCRETE SAMPLE,,,1.39,,0.08,,,,,,
2012PN330011,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2012-06-26 14:00,WATER,DISCRETE SAMPLE,,,1.2,,,,,,,,
2012PN330036,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2012-07-23 14:15,WATER,DISCRETE SAMPLE,,,1.56,,0.13,,,,,,
2012PN330043,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2012-08-21 12:00,WATER,DISCRETE SAMPLE,,,0.85,,0.07,,,,,,
2012PN330059,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2012-09-20 10:45,WATER,DISCRETE SAMPLE,,,1.62,,0.1,,,,,,
2012PN330067,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2012-10-18 14:15,WATER,DISCRETE SAMPLE,,,,,,,,,,,
2012PN330077,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2013-02-26 13:06,WATER,DISCRETE SAMPLE,2.5,,0.7,,0.06,,,,,,
2013PN330010,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2013-05-29 12:30,WATER,DISCRETE SAMPLE,,,2.26,,0.13,,,,,,
2013PN330030,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2013-06-26 13:43,WATER,DISCRETE SAMPLE,,,2.75,,0.63,,,,,,
2013PN330056,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2013-07-28 11:40,WATER,DISCRETE SAMPLE,1,,1.64,,0.25,,,,,,
2013PN330080,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2013-08-23 11:20,WATER,DISCRETE SAMPLE,1.3,,1.27,,0.12,,,,,,
2013PN330114,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2013-09-15 13:34,WATER,DISCRETE SAMPLE,1.2,,4.93,,0.28,,,,,,
2013PN330127,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2013-10-06 13:05,WATER,TRIPLICATE SAMPLE,1.2,,1.55,,0.1,,,,,,
2013PN330128,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2013-10-06 13:10,WATER,TRIPLICATE SAMPLE,1.2,,1.37,,0.11,,,,,,
2013PN330129,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2013-10-06 13:15,WATER,TRIPLICATE SAMPLE,1.2,,1.95,,0.11,,,,,,
2013PN330148,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2014-02-25 13:15,WATER,DISCRETE SAMPLE,1.9,,0.9,,0.05,,,,,,
2014PN330002,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2014-05-27 17:35,WATER,DISCRETE SAMPLE,1.3,,1.71,,0.12,,,,,,
2014PN330039,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2014-06-25 14:01,WATER,DISCRETE SAMPLE,1.8,,1.66,,0.11,,,,,,
2014PN330102,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2014-07-23 15:53,WATER,DISCRETE SAMPLE,1.6,,1.29,,0.12,,,,,,
2014PN330122,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2014-08-18 14:40,WATER,TRIPLICATE SAMPLE,1.2,,1,,0.08,,,,,,
2014PN330123,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2014-08-18 14:45,WATER,TRIPLICATE SAMPLE,1.2,,0.98,,0.07,,,,,,
2014PN330124,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2014-08-18 14:50,WATER,TRIPLICATE SAMPLE,1.2,,0.99,,0.07,,,,,,
2014PN330156,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2014-09-16 13:05,WATER,DISCRETE SAMPLE,1.4,,0.77,,0.06,,,,,,
2014PN330170,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2014-10-13 12:30,WATER,DISCRETE SAMPLE,1.6,,0.87,,0.06,,,,,,
2014PN330197,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2015-02-16 13:52,WATER,DISCRETE SAMPLE,1.85,,0.42,,0.04,,,,,,
2015PN330004,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2015-05-31 16:10,WATER,DISCRETE SAMPLE,1.3,,1.19,,0.12,,,,,,
2015PN330056,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2015-07-28 16:10,WATER,DISCRETE SAMPLE,1.3,,1.08,,0.06,,,,,,
2015PN330081,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2015-08-24 12:30,WATER,DISCRETE SAMPLE,1.2,,0.77,,0.05,,,,,,
2015PN330124,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2015-09-22 14:00,WATER,DISCRETE SAMPLE,1.2,,0.74,,0.06,,,,,,
2015PN330136,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2015-10-18 12:50,WATER,TRIPLICATE SAMPLE,1.2,,0.61,,0.05,,,,,,
2015PN330137,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2015-10-18 12:55,WATER,TRIPLICATE SAMPLE,1.2,,0.64,,0.04,,,,,,
2015PN330138,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2015-10-18 13:00,WATER,TRIPLICATE SAMPLE,1.2,,0.6,,0.05,,,,,,
2016PN330009,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2016-05-30 13:35,WATER,DISCRETE SAMPLE,1.6,,1.4,,0.09,,,,,,
2016PN330031,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2016-06-26 13:10,WATER,DISCRETE SAMPLE,1.5,,1.84,,0.12,,,,,,
2016PN330068,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2016-07-26 13:00,WATER,TRIPLICATE SAMPLE,0.9,,1.01,,0.05,,,,,,
2016PN330069,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2016-07-26 13:05,WATER,TRIPLICATE SAMPLE,0.9,,1.14,,0.06,,,,,,
2016PN330070,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2016-07-26 13:10,WATER,TRIPLICATE SAMPLE,0.9,,1,,0.05,,,,,,
2016PN330095,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2016-08-23 11:00,WATER,DISCRETE SAMPLE,1.3,,0.85,,0.07,,,,,,
2016PN330120,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2016-09-20 13:05,WATER,DISCRETE SAMPLE,1.8,,1.85,,0.14,,,,,,
2016PN330143,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2016-10-19 13:40,WATER,DISCRETE SAMPLE,1.9,,0.93,,0.06,,,,,,
2016PN330162,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2017-02-21 12:00,WATER,DISCRETE SAMPLE,2.11,,0.6,,0.04,,,,,,
2017PN330013,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2017-05-30 14:15,WATER,DISCRETE SAMPLE,1.6,,1.54,,0.11,,,,,,
2017PN330031,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2017-06-26 13:30,WATER,TRIPLICATE SAMPLE,1.3,,1.35,,0.07,,,,,,
2017PN330032,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2017-06-26 13:35,WATER,TRIPLICATE SAMPLE,1.3,,1.37,,0.06,,,,,,
2017PN330033,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2017-06-26 13:40,WATER,TRIPLICATE SAMPLE,1.3,,1.51,,0.07,,,,,,
2017PN330043,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2017-07-25 11:37,WATER,DISCRETE SAMPLE,1.2,,1.02,,0.07,,,,,,
2017PN330098,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2017-10-18 14:15,WATER,DISCRETE SAMPLE,1.5,,0.78,,0.03,,,,,,
2017PN330118,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2018-01-23 12:45,WATER,DISCRETE SAMPLE,1.67,,0.49,,0.05,,,,,,
2017PN330123,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2018-02-21 10:50,WATER,DISCRETE SAMPLE,1.14,,0.47,,0.05,,,,,,
2017PN330138,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2018-03-12 11:30,WATER,DISCRETE SAMPLE,0.7,,0.48,,0.05,,,,,,
2018PN330016,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2018-05-30 13:50,WATER,DISCRETE SAMPLE,1.8,,1.74,,0.21,,,,,,
2018PN330019,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2018-06-25 14:05,WATER,TRIPLICATE SAMPLE,1.5,,1.59,,0.11,,,,,,
2018PN330020,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2018-06-25 14:10,WATER,TRIPLICATE SAMPLE,1.5,,1.45,,0.11,,,,,,
2018PN330021,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2018-06-25 14:15,WATER,TRIPLICATE SAMPLE,1.5,,1.55,,0.11,,,,,,
2018PN330041,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2018-07-25 15:00,WATER,DISCRETE SAMPLE,1.6,,1.16,,0.08,,,,,,
2018PN330054,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2018-08-21 13:10,WATER,DISCRETE SAMPLE,1.1,,0.79,,0.07,,,,,,
2018PN330071,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2018-09-18 12:35,WATER,DISCRETE SAMPLE,1.2,,0.77,,0.05,,,,,,
2018PN330090,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2018-10-17 11:40,WATER,DISCRETE SAMPLE,1.3,,0.88,,0.04,,,,,,
2018PN330100,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2019-01-21 11:40,WATER,DISCRETE SAMPLE,1.35,,0.43,,0.04,,,,,,
2018PN330107,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2019-02-19 13:40,WATER,DISCRETE SAMPLE,1.54,,0.52,,0.04,,,,,,
2018PN330126,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2019-03-18 14:15,WATER,DISCRETE SAMPLE,1.47,,0.37,,0.04,,,,,,
2019PN330008,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2019-05-28 16:10,WATER,DISCRETE SAMPLE,1.5,,,,,,,,,,
2019PN330027,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2019-06-25 11:10,WATER,DISCRETE SAMPLE,1.1,,,,,,,,,,
2019PN330049,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2019-07-23 14:20,WATER,DISCRETE SAMPLE,1.2,,,,,,,,,,
2019PN330067,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2019-08-20 13:05,WATER,DISCRETE SAMPLE,2,,,,,,,,,,
2019PN330087,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2019-09-18 12:30,WATER,DISCRETE SAMPLE,1.7,,,,,,,,,,
2019PN330095,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2019-10-09 10:55,WATER,DISCRETE SAMPLE,1.9,,,,,,,,,,
2019PN330113,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2020-02-17 12:35,WATER,TRIPLICATE SAMPLE,1.7,,,,,,,,,,
2019PN330114,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2020-02-17 12:40,WATER,TRIPLICATE SAMPLE,1.7,,,,,,,,,,
2019PN330115,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2020-02-17 12:45,WATER,TRIPLICATE SAMPLE,1.7,,,,,,,,,,
2021PN330019,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2021-08-02 13:30,WATER,TRIPLICATE SAMPLE,1.8,,,,,,1.28,,0.116,,
2021PN330020,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2021-08-02 13:35,WATER,TRIPLICATE SAMPLE,1.8,,,,,,1.18,,0.106,,
2021PN330021,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2021-08-02 13:40,WATER,TRIPLICATE SAMPLE,1.8,,,,,,1.09,,0.115,,
2021PN330033,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2021-08-29 11:15,WATER,DISCRETE SAMPLE,1.6,,,,,,1.11,,0.13,,
2021PN330041,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2021-09-24 14:35,WATER,DISCRETE SAMPLE,1.8,,,,,,1.22,,0.108,,
2021PN330052,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2021-10-23 13:10,WATER,DISCRETE SAMPLE,2,,,,,,0.93,,0.06,,
2021PN330056,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2022-02-21 13:22,WATER,DISCRETE SAMPLE,1.6,,,,,,0.63,,0.065,,
2021PN330064,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2022-03-18 10:55,WATER,DISCRETE SAMPLE,2.48,,,,,,0.64,,0.061,,
2022PN330006,WOOD BUFFALO NATIONAL PARK MONITORING,RICHARDSON RIVER AT THE MOUTH RI1,AL07DD0006,58.36015306,-111.2410039,2022-05-24 12:05,WATER,DISCRETE SAMPLE,1.9,,,,,,1.83,,0.128,,
2011PN330007,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2011-09-14 12:00,WATER,DISCRETE SAMPLE,,,,,,,,,,,
2011PN330013,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2011-10-12 12:50,WATER,TRIPLICATE SAMPLE,12,,,,,,,,,,
2011PN330015,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2011-10-12 12:55,WATER,TRIPLICATE SAMPLE,12,,,,,,,,,,
2011PN330016,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2011-10-12 13:00,WATER,TRIPLICATE SAMPLE,12,,,,,,,,,,
2011PN330018,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2012-01-24 12:30,WATER,DISCRETE SAMPLE,4.1,,1.53,L,0.03,,,,,,
2011PN330021,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2012-02-22 12:45,WATER,DISCRETE SAMPLE,,,1.42,L,0.03,,,,,,
2011PN330022,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2012-03-21 12:00,WATER,TRIPLICATE SAMPLE,,,1.76,,0.03,,,,,,
2011PN330023,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2012-03-21 12:05,WATER,TRIPLICATE SAMPLE,,,1.73,L,0.03,,,,,,
2011PN330024,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2012-03-21 12:10,WATER,TRIPLICATE SAMPLE,,,1.62,L,0.03,,,,,,
2012PN330004,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2012-05-31 12:30,WATER,DISCRETE SAMPLE,,,12,,0.1,,,,,,
2012PN330020,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2012-06-27 14:21,WATER,DISCRETE SAMPLE,,,25,,0.19,,,,,,
2012PN330022,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2012-07-25 11:50,WATER,TRIPLICATE SAMPLE,,,9.2,,0.05,,,,,,
2012PN330023,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2012-07-25 11:55,WATER,TRIPLICATE SAMPLE,,,11,,0.05,,,,,,
2012PN330024,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2012-07-25 12:00,WATER,TRIPLICATE SAMPLE,,,10.7,,0.05,,,,,,
2012PN330056,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2012-08-22 13:00,WATER,DISCRETE SAMPLE,5,,3.93,,0.06,,,,,,
2012PN330057,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2012-09-17 13:30,WATER,DISCRETE SAMPLE,,,,,,,,,,,
2012PN330064,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2012-10-15 15:24,WATER,DISCRETE SAMPLE,,,,,,,,,,,
2012PN330073,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2013-01-27 12:10,WATER,DISCRETE SAMPLE,,,1.35,L,0.03,,,,,,
