2014PN200056,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.6024167,2014-06-11 16:40,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,98.495,,0,,1.347,,10.161,,90.961,,0,,PM,,0.4,,16.934,,PM,,121.586,,,,,,NA,,NA,,80.8,,,,3.83,,0.09,,,,8.06,,,,,,,,17.8,,25.2,,6.81,,1.35,,9.16,,8.68,,65,,204,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200057,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2014-06-24 10:15,WATER,VERTICAL INTEGRATED,4.8,,106.663,,0,,1.528,,13.412,,100.912,,0,,-0.118,,0.37,,15.209,,8.277,,127.539,,,,,,NA,,NA,,87.5,,,,1.92,,0.09,,,,8.04,,,,,,,,21.8,,27.8,,7.65,,1.09,,6.17,,8.43,,70,,211,,70,,9.01,,7.87,,223,,19,EVENTF,88.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200058,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 6 OF 10,AL07DD0007,57.31373,-111.67093,2014-06-24 11:30,WATER,VERTICAL INTEGRATED,2.63,,98.983,,0,,1.521,,10.258,,91.458,,0,,-0.229,,0.4,,16.999,,8.468,,119.666,,,,,,NA,,NA,,81.2,,,,4.6,,0.08,,,,8.01,,,,,,,,17.1,,25.3,,6.87,,1.04,,7.16,,8.73,,65,,201,,75,,8.97,,7.85,,208,,18.69,EVENTF,100.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200059,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 10 OF 10,AL07DD0007,57.31395,-111.66737,2014-06-24 12:35,WATER,VERTICAL INTEGRATED,2.8,,97.032,,0,,1.491,,9.742,,89.342,,0,,-0.246,,0.42,,17.888,,8.502,,117.921,,,,,,NA,,NA,,79.6,,,,5.2,,0.09,,,,8.01,,,,,,,,15.9,,24.7,,6.72,,1.01,,7.36,,9.07,,75,,198,,75,,8.97,,7.85,,204,,18.74,EVENTF,90.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200060,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M7, BELOW ELLS RIVER",AL07DD0007,57.31373,-111.67183,2014-06-24 13:00,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,101.421,,0,,1.387,,12.572,,95.772,,0,,PM,,0.38,,15.97,,PM,,123.061,,,,,,NA,,NA,,83.2,,,,3.64,,0.09,,,,8.06,,,,,,,,19.3,,26.5,,7.19,,1.06,,6.81,,8.48,,65,,208,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200061,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M7, BELOW ELLS RIVER",AL07DD0007,57.31373,-111.67183,2014-06-24 13:05,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,102.762,,0,,1.405,,11.595,,95.895,,0,,PM,,0.38,,15.92,,PM,,123.832,,,,,,NA,,NA,,84.3,,,,3.61,,0.09,,,,8.06,,,,,,,,19.3,,26.5,,7.22,,1.07,,6.94,,8.46,,55,,208,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200062,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M7, BELOW ELLS RIVER",AL07DD0007,57.31373,-111.67183,2014-06-24 13:10,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,102.274,,0,,1.366,,11.414,,95.314,,0,,PM,,0.37,,15.875,,PM,,123.18,,,,,,NA,,NA,,83.9,,,,3.62,,0.09,,,,8.07,,,,,,,,19.3,,26.3,,7.2,,1.06,,6.81,,8.38,,55,,209,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200063,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 2 OF 10,AL07DD0005,57.15633333,-111.6294167,2014-06-25 10:50,WATER,TRIPLICATE SAMPLE,2.03,,114.708,,0,,1.364,,14.032,,108.132,,0,,0.028,,0.32,,13.252,,8.064,,135.233,,,,,,NA,,NA,,94.1,,,,1.96,,0.09,,,,8.12,,,,,,,,23.1,,29.9,,8.13,,1.13,,6.56,,7.69,,35,,227,,80,,8.61,,7.96,,235,,19.19,EVENTF,105.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200064,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 2 OF 10,AL07DD0005,57.15633333,-111.6294167,2014-06-25 10:55,WATER,TRIPLICATE SAMPLE,,,114.83,,0,,1.397,,14.722,,108.922,,0,,PM,,0.32,,13.258,,PM,,135.717,,,,,,NA,,NA,,94.2,,,,1.95,,0.09,,,,8.11,,,,,,,,23,,30.2,,8.14,,1.14,,6.71,,7.75,,35,,227,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200065,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 2 OF 10,AL07DD0005,57.15633333,-111.6294167,2014-06-25 11:00,WATER,TRIPLICATE SAMPLE,,,114.952,,0,,1.399,,14.83,,109.13,,0,,PM,,0.33,,13.341,,PM,,136.095,,,,,,NA,,NA,,94.3,,,,1.95,,0.09,,,,8.11,,,,,,,,23,,30.3,,8.13,,1.13,,6.82,,7.82,,35,,228,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200066,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 6 OF 10,AL07DD0005,57.15683333,-111.6265278,2014-06-25 12:30,WATER,VERTICAL INTEGRATED,5.6,,106.297,,0,,1.387,,11.974,,99.174,,0,,-0.076,,0.36,,15.278,,8.232,,126.526,,,,,,NA,,NA,,87.2,,,,3.22,,0.09,,,,8.08,,,,,,,,19.1,,27.5,,7.41,,1.08,,7.29,,8.33,,55,,212,,75,,8.61,,7.95,,219,,19.29,EVENTF,94.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200067,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 8 OF 10,AL07DD0005,57.15705556,-111.6250278,2014-06-25 13:00,WATER,VERTICAL INTEGRATED,4.05,,97.032,,0,,1.457,,7.503,,87.103,,0,,-0.228,,0.43,,18.604,,8.477,,116.156,,,,,,NA,,NA,,79.6,,,,5.34,,0.09,,,,8.02,,,,,,,,14.2,,24.1,,6.54,,1,,7.7,,9.28,,65,,195,,65,,8.54,,7.89,,200,,19.33,EVENTF,85.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200068,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M5 ABOVE MACKAY RIVER,AL07DD0005,57.15680556,-111.6270528,2014-06-25 13:40,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,105.444,,0,,1.283,,10.6,,97.1,,0,,PM,,0.38,,16.07,,PM,,125.231,,,,,,NA,,NA,,86.5,,,,3.75,,0.09,,,,8.11,,,,,,,,18.2,,26.9,,7.27,,1.06,,7.25,,8.66,,55,,209,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200069,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M5 ABOVE MACKAY RIVER,AL07DD0005,57.15680556,-111.6270528,2014-06-25 13:45,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,105.322,,0,,1.282,,9.495,,95.895,,0,,PM,,0.38,,15.937,,PM,,124.423,,,,,,NA,,NA,,86.4,,,,3.71,,0.09,,,,8.11,,,,,,,,18.2,,26.5,,7.22,,1.06,,7.16,,8.47,,55,,210,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200070,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M5 ABOVE MACKAY RIVER,AL07DD0005,57.15680556,-111.6270528,2014-06-25 13:50,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,104.346,,0,,1.24,,9.34,,94.94,,0,,PM,,0.38,,15.964,,PM,,123.106,,,,,,NA,,NA,,85.6,,,,3.84,,0.09,,,,8.12,,,,,,,,18,,26.2,,7.17,,1.03,,6.83,,8.4,,60,,209,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200076,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 2 OF 10,AL07DD0008,56.83851,-111.41779,2014-07-08 11:10,WATER,VERTICAL INTEGRATED,3.2,,115.561,,0,,0.922,,13.998,,108.798,,0,,0.243,,0.27,,11.431,,7.803,,132.604,,,,,,NA,,NA,,94.8,,,,1.23,,0.09,,,,8.29,,,,,,,,21.8,,30.2,,8.11,,1.05,,6.67,,6.53,,25,,224,,55,,8.55,,8.1,,229,,20.46,,56.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200077,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 6 OF 10,AL07DD0008,56.83862,-111.41478,2014-07-08 12:21,WATER,VERTICAL INTEGRATED,3.1,,115.074,,0,,0.94,,13.35,,107.75,,0,,0.224,,0.29,,12.117,,7.833,,135.814,,,,,,NA,,NA,,94.4,,,,1.4,,0.09,,,,8.28,,,,,,,,22,,29.5,,8.28,,1.18,,9.76,,6.92,,25,,224,,100,,8.62,,8.11,,228,,20.57,EVENTF,131.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200078,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2014-07-08 13:27,WATER,VERTICAL INTEGRATED,3.3,,87.037,,0,,1.247,,1.088,,72.488,,0,,-0.311,,0.66,,27.785,,8.663,,111.205,,,,,,NA,,NA,,71.4,,,,12.9,,0.09,,,,8.04,,,,,,,,7.35,,19.5,,5.78,,0.83,,8.84,,13,,65,,192,,36,,8.23,,7.65,,194,,20.51,,50.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200079,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M3, 6.5 KM BELOW WSC GAUGE 07DA001",AL07DD0008,56.8388,-111.41548,2014-07-08 14:00,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,106.541,,0,,1.002,,9.939,,97.339,,0,,PM,,0.37,,15.729,,PM,,127.323,,,,,,NA,,NA,,87.4,,,,4.65,,0.09,,,,8.22,,,,,,,,17.9,,26.6,,7.51,,1.04,,8.54,,8.46,,40,,216,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200080,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M3, 6.5 KM BELOW WSC GAUGE 07DA001",AL07DD0008,56.8388,-111.41548,2014-07-08 14:05,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,107.272,,0,,0.986,,9.753,,97.753,,0,,PM,,0.37,,NC,,PM,,NC,,,,,,NA,,NA,,88,,,,4.58,,0.09,,,,8.23,,,,,,,,18,,26.7,,7.55,,,,8.62,,8.49,,40,,217,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200081,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M3, 6.5 KM BELOW WSC GAUGE 07DA001",AL07DD0008,56.8388,-111.41548,2014-07-08 14:10,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,107.516,,0,,0.965,,10.758,,98.958,,0,,PM,,0.37,,15.623,,PM,,128.633,,,,,,NA,,NA,,88.2,,,,4.5,,0.09,,,,8.24,,,,,,,,18.1,,27.1,,7.6,,1.04,,8.7,,8.53,,40,,216,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200082,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 2 OF 10,AL07DD0004,57.12633333,-111.6036111,2014-07-09 10:30,WATER,VERTICAL INTEGRATED,3.6,,114.464,,0,,1.102,,14.193,,108.093,,0,,0.214,,0.31,,12.758,,7.782,,132.464,,,,,,NA,,NA,,93.9,,,,2.3,,0.08,,,,8.21,,,,,,,,21.4,,30,,8.06,,1.03,,5.86,,7.35,,25,,228,,40,,8.19,,7.97,,232,,22.47,,54.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200083,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 5 OF 10,AL07DD0004,57.12697222,-111.6024167,2014-07-09 11:22,WATER,VERTICAL INTEGRATED,3.7,,108.979,,0,,1.049,,10.354,,99.754,,0,,0.149,,0.37,,15.5,,7.912,,127.044,,,,,,NA,,NA,,89.4,,,,4.52,,0.09,,,,8.21,,,,,,,,17.7,,27.6,,7.49,,0.97,,6.48,,8.51,,35,,216,,37,,8.21,,7.95,,221,,22.14,,50.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200084,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 10 OF 10,AL07DD0004,57.12763889,-111.6000278,2014-07-09 12:36,WATER,VERTICAL INTEGRATED,2.2,,103.371,,0,,1.093,,7.857,,92.657,,0,,0.048,,0.44,,18.464,,8.074,,122.504,,,,,,NA,,NA,,84.8,,,,6.58,,0.09,,,,8.17,,,,,,,,14.8,,25.5,,7.04,,0.91,,6.9,,9.76,,50,,210,,32,,8.27,,7.92,,214,,21.94,,43.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200085,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.6024167,2014-07-09 12:45,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,110.076,,0,,0.988,,10.282,,100.582,,0,,PM,,0.36,,15.221,,PM,,127.994,,,,,,NA,,NA,,90.3,,,,4.25,,0.09,,,,8.24,,,,,,,,18.3,,27.8,,7.57,,0.99,,6.37,,8.4,,35,,218,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200086,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.6024167,2014-07-09 12:50,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,110.32,,0,,0.99,,9.418,,99.918,,0,,PM,,0.36,,15.154,,PM,,127.463,,,,,,NA,,NA,,90.5,,,,4.23,,0.09,,,,8.24,,,,,,,,18.2,,27.6,,7.53,,0.97,,6.11,,8.3,,35,,219,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200087,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.6024167,2014-07-09 12:55,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,109.832,,0,,0.963,,9.818,,99.918,,0,,PM,,0.36,,14.968,,PM,,126.945,,,,,,NA,,NA,,90.1,,,,4.18,,0.09,,,,8.25,,,,,,,,18.2,,27.6,,7.53,,0.97,,6.06,,8.18,,40,,219,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200088,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 2 OF 10,AL07DD0005,57.15633333,-111.6294167,2014-07-22 12:12,WATER,VERTICAL INTEGRATED,1,,115.439,,0,,0.965,,17.378,,112.078,,0,,0.26,,0.34,,13.77,,7.75,,138.697,,,,,,NA,,NA,,94.7,,,,3.65,,0.09,,,,8.27,,,,,,,,24.7,,31.2,,8.3,,1.05,,4.47,,8.32,,8,,244,,23,,8.62,,8.14,,246,,21.3,,27.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200089,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 6 OF 10,AL07DD0005,57.15683333,-111.6265278,2014-07-22 13:33,WATER,VERTICAL INTEGRATED,3.4,,104.468,,5.28,,0.877,,13.843,,108.343,,0,,0.284,,0.37,,15.018,,7.742,,137.354,,,,,,NA,,4.4,,94.5,,,,4.86,,0.09,,,,8.31,,,,,,,,22.9,,30.1,,8.06,,1.01,,4.69,,8.9,,8,,240,,22,,8.57,,8.15,,243,,21.29,,30.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200090,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 8 OF 10,AL07DD0005,57.15705556,-111.6250278,2014-07-22 14:06,WATER,VERTICAL INTEGRATED,3.6,,100.202,,5.64,,0.83,,12.841,,104.441,,0,,0.263,,0.44,,17.505,,7.794,,135.424,,,,,,NA,,4.7,,91.6,,,,6.96,,0.09,,,,8.32,,,,,,,,20.2,,28.9,,7.84,,0.96,,5.17,,10.3,,15,,238,,18,,8.66,,8.14,,241,,21.28,,26.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200091,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M5 ABOVE MACKAY RIVER,AL07DD0005,57.15680556,-111.6270528,2014-07-22 14:55,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,101.421,,5.76,,0.821,,15.211,,108.011,,0,,PM,,0.4,,15.827,,PM,,136.794,,,,,,NA,,4.8,,92.8,,,,5.44,,0.09,,,,8.33,,,,,,,,22.3,,30,,8.04,,1,,4.76,,9.44,,15,,240,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200092,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M5 ABOVE MACKAY RIVER,AL07DD0005,57.15680556,-111.6270528,2014-07-22 15:00,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,101.177,,5.76,,0.82,,15.12,,107.72,,0,,PM,,0.4,,15.961,,PM,,136.724,,,,,,NA,,4.8,,92.6,,,,5.46,,0.09,,,,8.33,,,,,,,,22.3,,29.9,,8.03,,1,,4.83,,9.51,,15,,240,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200093,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M5 ABOVE MACKAY RIVER,AL07DD0005,57.15680556,-111.6270528,2014-07-22 15:05,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,101.055,,6.12,,0.805,,14.702,,107.802,,0,,PM,,0.41,,16.44,,PM,,137.774,,,,,,NA,,5.1,,93.1,,,,5.57,,0.09,,,,8.34,,,,,,,,22.6,,29.9,,8.05,,1.01,,4.79,,9.86,,10,,241,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200094,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 1 OF 10,AL07DD0009,57.21513,-111.61512,2014-07-23 10:10,WATER,TRIPLICATE SAMPLE,3.7,,116.902,,0,,0.911,,15.925,,111.825,,0,,0.293,,0.37,,14.809,,7.714,,138.904,,,,,,NA,,NA,,95.9,,,,3.64,,0.09,,,,8.3,,,,,,,,23.6,,31,,8.36,,0.98,,4.62,,9.03,,25,,243,,20,,8.54,,8.11,,246,,21.31,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200095,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 1 OF 10,AL07DD0009,57.21513,-111.61512,2014-07-23 10:15,WATER,TRIPLICATE SAMPLE,3.7,,116.415,,0.24,,0.911,,15.802,,111.702,,0,,PM,,0.37,,14.81,,PM,,139.024,,,,,,NA,,0.2,,95.9,,,,3.68,,0.09,,,,8.3,,,,,,,,23.7,,31,,8.33,,0.97,,4.65,,9.02,,20,,243,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014PN200096,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 1 OF 10,AL07DD0009,57.21513,-111.61512,2014-07-23 10:20,WATER,TRIPLICATE SAMPLE,3.7,,106.175,,5.28,,0.89,,15.884,,111.784,,0,,PM,,0.37,,14.772,,PM,,139.004,,,,,,NA,,4.4,,95.9,,,,3.68,,0.09,,,,8.31,,,,,,,,23.7,,31,,8.35,,0.98,,4.62,,9,,20,,243,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
